"competencia","data","ano","nivel","aprovada","distribuida","ocupada","vago","nivel_nome","taxa_vacancia"
202007,2020-07-01,2020,"NI",285586,257610,187329,98257,"Nível intermediário",34.41
202007,2020-07-01,2020,"NM",2418,2341,1807,611,"Nível médio",25.27
202007,2020-07-01,2020,"NS",428462,373017,290869,137593,"Nível superior",32.11
202008,2020-08-01,2020,"NA",18336,18331,17956,380,"Nível de apoio",2.07
202008,2020-08-01,2020,"NI",285258,257281,186665,98593,"Nível intermediário",34.56
202008,2020-08-01,2020,"NM",2440,2365,1833,607,"Nível médio",24.88
202008,2020-08-01,2020,"NS",428445,373007,290533,137912,"Nível superior",32.19
202009,2020-09-01,2020,"NA",18280,18275,17898,382,"Nível de apoio",2.09
202009,2020-09-01,2020,"NI",284922,256936,185972,98950,"Nível intermediário",34.73
202009,2020-09-01,2020,"NM",2466,2391,1857,609,"Nível médio",24.7
202009,2020-09-01,2020,"NS",428401,372957,290206,138195,"Nível superior",32.26
202010,2020-10-01,2020,"NA",18209,18204,17823,386,"Nível de apoio",2.12
202010,2020-10-01,2020,"NI",284603,256633,185419,99184,"Nível intermediário",34.85
202010,2020-10-01,2020,"NM",2469,2394,1861,608,"Nível médio",24.63
202010,2020-10-01,2020,"NS",428377,373024,290101,138276,"Nível superior",32.28
202011,2020-11-01,2020,"NA",18157,18149,17767,390,"Nível de apoio",2.15
202011,2020-11-01,2020,"NI",284340,256400,185005,99335,"Nível intermediário",34.94
202011,2020-11-01,2020,"NM",2469,2394,1856,613,"Nível médio",24.83
202011,2020-11-01,2020,"NS",428353,373034,290363,137990,"Nível superior",32.21
202012,2020-12-01,2020,"NA",18157,18149,17767,390,"Nível de apoio",2.15
202012,2020-12-01,2020,"NI",284340,256400,185005,99335,"Nível intermediário",34.94
202012,2020-12-01,2020,"NM",2469,2394,1856,613,"Nível médio",24.83
202012,2020-12-01,2020,"NS",428353,373034,290363,137990,"Nível superior",32.21
202101,2021-01-01,2021,"NA",18054,18047,17659,395,"Nível de apoio",2.19
202101,2021-01-01,2021,"NI",283861,255910,184269,99592,"Nível intermediário",35.08
202101,2021-01-01,2021,"NM",2505,2407,1859,646,"Nível médio",25.79
202101,2021-01-01,2021,"NS",428251,372779,291319,136932,"Nível superior",31.97
202102,2021-02-01,2021,"NA",18021,18013,17622,399,"Nível de apoio",2.21
202102,2021-02-01,2021,"NI",283621,255644,183904,99717,"Nível intermediário",35.16
202102,2021-02-01,2021,"NM",2517,2418,1868,649,"Nível médio",25.78
202102,2021-02-01,2021,"NS",428222,372742,291412,136810,"Nível superior",31.95
202103,2021-03-01,2021,"NA",17979,17972,17567,412,"Nível de apoio",2.29
202103,2021-03-01,2021,"NI",283252,255234,183170,100082,"Nível intermediário",35.33
202103,2021-03-01,2021,"NM",2514,2416,1858,656,"Nível médio",26.09
202103,2021-03-01,2021,"NS",428223,372703,290987,137236,"Nível superior",32.05
202104,2021-04-01,2021,"NA",17898,17888,17487,411,"Nível de apoio",2.3
202104,2021-04-01,2021,"NI",282837,254808,182297,100540,"Nível intermediário",35.55
202104,2021-04-01,2021,"NM",2509,2408,1852,657,"Nível médio",26.19
202104,2021-04-01,2021,"NS",428187,372629,290424,137763,"Nível superior",32.17
202105,2021-05-01,2021,"NA",17813,17806,17399,414,"Nível de apoio",2.32
202105,2021-05-01,2021,"NI",282492,254376,181561,100931,"Nível intermediário",35.73
202105,2021-05-01,2021,"NM",2508,2408,1851,657,"Nível médio",26.2
202105,2021-05-01,2021,"NS",428148,372426,289935,138213,"Nível superior",32.28
202106,2021-06-01,2021,"NA",17716,17707,17299,417,"Nível de apoio",2.35
202106,2021-06-01,2021,"NI",282140,253756,180859,101281,"Nível intermediário",35.9
202106,2021-06-01,2021,"NM",2505,2407,1848,657,"Nível médio",26.23
202106,2021-06-01,2021,"NS",428106,372348,289565,138541,"Nível superior",32.36
202107,2021-07-01,2021,"NA",17647,17637,17227,420,"Nível de apoio",2.38
202107,2021-07-01,2021,"NI",281769,253387,180243,101526,"Nível intermediário",36.03
202107,2021-07-01,2021,"NM",2476,2377,1817,659,"Nível médio",26.62
202107,2021-07-01,2021,"NS",428069,372308,289262,138807,"Nível superior",32.43
202108,2021-08-01,2021,"NA",17583,17574,17161,422,"Nível de apoio",2.4
202108,2021-08-01,2021,"NI",281439,253020,179620,101819,"Nível intermediário",36.18
202108,2021-08-01,2021,"NM",2468,2370,1805,663,"Nível médio",26.86
202108,2021-08-01,2021,"NS",427981,372228,289034,138947,"Nível superior",32.47
202109,2021-09-01,2021,"NA",17500,17491,17077,423,"Nível de apoio",2.42
202109,2021-09-01,2021,"NI",282515,252642,178865,103650,"Nível intermediário",36.69
202109,2021-09-01,2021,"NM",2413,2315,1749,664,"Nível médio",27.52
202109,2021-09-01,2021,"NS",430232,372256,288801,141431,"Nível superior",32.87
202110,2021-10-01,2021,"NA",17450,17441,17025,425,"Nível de apoio",2.44
202110,2021-10-01,2021,"NI",282427,252330,178265,104162,"Nível intermediário",36.88
202110,2021-10-01,2021,"NM",2401,2303,1737,664,"Nível médio",27.66
202110,2021-10-01,2021,"NS",430436,372365,288779,141657,"Nível superior",32.91
202111,2021-11-01,2021,"NA",17408,17399,16983,425,"Nível de apoio",2.44
202111,2021-11-01,2021,"NI",282207,252122,177791,104416,"Nível intermediário",37
202111,2021-11-01,2021,"NM",2399,2301,1728,671,"Nível médio",27.97
202111,2021-11-01,2021,"NS",430395,372363,288576,141819,"Nível superior",32.95
202112,2021-12-01,2021,"NA",17359,17350,16925,434,"Nível de apoio",2.5
202112,2021-12-01,2021,"NI",281897,251812,177147,104750,"Nível intermediário",37.16
202112,2021-12-01,2021,"NM",2402,2304,1731,671,"Nível médio",27.94
202112,2021-12-01,2021,"NS",430345,372400,288521,141824,"Nível superior",32.96
202201,2022-01-01,2022,"NA",17299,17289,16862,437,"Nível de apoio",2.53
202201,2022-01-01,2022,"NI",281685,251547,176480,105205,"Nível intermediário",37.35
202201,2022-01-01,2022,"NM",2403,2304,1721,682,"Nível médio",28.38
202201,2022-01-01,2022,"NS",430290,372369,289465,140825,"Nível superior",32.73
202202,2022-02-01,2022,"NA",17224,17207,16783,441,"Nível de apoio",2.56
202202,2022-02-01,2022,"NI",281468,251288,176101,105367,"Nível intermediário",37.43
202202,2022-02-01,2022,"NM",2404,2296,1711,693,"Nível médio",28.83
202202,2022-02-01,2022,"NS",430228,372399,290661,139567,"Nível superior",32.44
202203,2022-03-01,2022,"NA",17146,17138,16702,444,"Nível de apoio",2.59
202203,2022-03-01,2022,"NI",281173,251027,175402,105771,"Nível intermediário",37.62
