"competencia","data","ano","entidade","entidade_nome","bloco","aprovada","distribuida","ocupada","vago","nunca_distribuido","vago_pos_distrib","taxa_vacancia"
201601,2016-01-01,2016,26406,"INSTITUTO FEDERAL DO ESPIRITO SANTO","26406",2771,2644,2586,185,127,58,6.68
201601,2016-01-01,2016,26407,"INSTITUTO FEDERAL GOIANO","26407",1311,1269,1237,74,42,32,5.64
201601,2016-01-01,2016,26408,"INSTITUTO FEDERAL DO MARANHAO","26408",3004,2549,2478,526,455,71,17.51
201601,2016-01-01,2016,26409,"INSTITUTO FEDERAL DE MINAS GERAIS","26409",1610,1524,1476,134,86,48,8.32
201601,2016-01-01,2016,26410,"INSTITUTO FED. DO NORTE DE MINAS GERAIS","26410",1300,1209,1164,136,91,45,10.46
201601,2016-01-01,2016,26411,"INSTITUTO FED.DO SUDESTE DE MINAS GERAIS","26411",1233,1157,1128,105,76,29,8.52
201601,2016-01-01,2016,26412,"INSTITUTO FEDERAL DO SUL DE MINAS GERAIS","26412",1098,1068,1045,53,30,23,4.83
201601,2016-01-01,2016,26413,"INSTITUTO FEDERAL DO TRIANGULO MINEIRO","26413",1128,1011,988,140,117,23,12.41
201601,2016-01-01,2016,26414,"INSTITUTO FEDERAL DE MATO GROSSO","26414",1845,1728,1649,196,117,79,10.62
201601,2016-01-01,2016,26415,"INSTITUTO FEDERAL DE MATO GROSSO DO SUL","26415",1018,766,708,310,252,58,30.45
201601,2016-01-01,2016,26416,"INSTITUTO FEDERAL DO PARA","26416",1942,1641,1544,398,301,97,20.49
201601,2016-01-01,2016,26417,"INSTITUTO FEDERAL DA PARAIBA","26417",2269,2093,2045,224,176,48,9.87
201601,2016-01-01,2016,26418,"INSTITUTO FEDERAL DE PERNAMBUCO","26418",2183,2126,2072,111,57,54,5.08
201601,2016-01-01,2016,26419,"INSTITUTO FEDERAL DO RIO GRANDE DO SUL","26419",1798,1720,1689,109,78,31,6.06
201601,2016-01-01,2016,26420,"INSTITUTO FEDERAL FARROUPILHA","26420",1349,1280,1273,76,69,7,5.63
201601,2016-01-01,2016,26421,"INSTITUTO FEDERAL DE RONDONIA","26421",1158,1133,899,259,25,234,22.37
201601,2016-01-01,2016,26422,"INSTITUTO FEDERAL CATARINENSE","26422",1796,1724,1484,312,72,240,17.37
201601,2016-01-01,2016,26423,"INSTITUTO FEDERAL DE SERGIPE","26423",1151,1106,1072,79,45,34,6.86
