"orgao","entidade","bloco","sigla_orgao","nome_orgao","primeiro","ultimo","meses","aprovada_max","entidade_nome","confianca","evidencia","bloco_nome"
26260,26260,"26260","UNIFAL-MG","UNIVERSIDADE FEDERAL DE ALFENAS",201601,202606,124,968,"UNIVERSIDADE FEDERAL DE ALFENAS","estavel","código presente sem troca ao longo da série","UNIVERSIDADE FEDERAL DE ALFENAS"
26261,26261,"26261","UNIFEI","UNIVERSIDADE FEDERAL DE ITAJUBA",201601,202606,124,942,"UNIVERSIDADE FEDERAL DE ITAJUBA","estavel","código presente sem troca ao longo da série","UNIVERSIDADE FEDERAL DE ITAJUBA"
26262,26262,"26262","UNIFESP","UNIVERSIDADE FEDERAL DE SAO PAULO",201601,202606,124,6377,"UNIVERSIDADE FEDERAL DE SAO PAULO","estavel","código presente sem troca ao longo da série","UNIVERSIDADE FEDERAL DE SAO PAULO"
26263,26263,"26263","UFLA","UNIVERSIDADE FEDERAL DE LAVRAS",201601,202606,124,1572,"UNIVERSIDADE FEDERAL DE LAVRAS","estavel","código presente sem troca ao longo da série","UNIVERSIDADE FEDERAL DE LAVRAS"
26264,26264,"26264","UFERSA-RN","UNIVERSIDADE FED. RURAL DO SEMI-ARIDO",201601,202606,124,1370,"UNIVERSIDADE FED. RURAL DO SEMI-ARIDO","estavel","código presente sem troca ao longo da série","UNIVERSIDADE FED. RURAL DO SEMI-ARIDO"
26266,26266,"26266","UNIPAMPA","FUNDACAO UNIVERSIDADE FEDERAL DO PAMPA",201601,202606,124,1932,"FUNDACAO UNIVERSIDADE FEDERAL DO PAMPA","estavel","código presente sem troca ao longo da série","FUNDACAO UNIVERSIDADE FEDERAL DO PAMPA"
26267,26267,"26267","UNILA","UNIV.FED. DA INTEGRACAO LATINO-AMERICANA",201601,202606,124,1005,"UNIV.FED. DA INTEGRACAO LATINO-AMERICANA","estavel","código presente sem troca ao longo da série","UNIV.FED. DA INTEGRACAO LATINO-AMERICANA"
26268,26268,"26268","UNIR","FUND. UNIVERSIDADE FEDERAL DE RONDONIA",201601,202606,124,1418,"FUND. UNIVERSIDADE FEDERAL DE RONDONIA","estavel","código presente sem troca ao longo da série","FUND. UNIVERSIDADE FEDERAL DE RONDONIA"
26269,26269,"26269","UNIRIO","UNIVERSIDADE DO RIO DE JANEIRO",201601,202606,124,2549,"UNIVERSIDADE DO RIO DE JANEIRO","estavel","código presente sem troca ao longo da série","UNIVERSIDADE DO RIO DE JANEIRO"
26270,26270,"26270","FUAM","FUNDACAO UNIVERSIDADE DO AMAZONAS",201601,202606,124,3546,"FUNDACAO UNIVERSIDADE DO AMAZONAS","estavel","código presente sem troca ao longo da série","FUNDACAO UNIVERSIDADE DO AMAZONAS"
26271,26271,"26271","UNB","FUNDACAO UNIVERSIDADE DE BRASILIA",201601,202606,124,6125,"FUNDACAO UNIVERSIDADE DE BRASILIA","estavel","código presente sem troca ao longo da série","FUNDACAO UNIVERSIDADE DE BRASILIA"
26272,26272,"26272","UFMA","FUNDACAO UNIVERSIDADE DO MARANHAO",201601,202606,124,3739,"FUNDACAO UNIVERSIDADE DO MARANHAO","estavel","código presente sem troca ao longo da série","FUNDACAO UNIVERSIDADE DO MARANHAO"
26273,26273,"26273","FURG","UNIVERSIDADE FEDERAL DO RIO GRANDE",201601,202606,124,2155,"UNIVERSIDADE FEDERAL DO RIO GRANDE","estavel","código presente sem troca ao longo da série","UNIVERSIDADE FEDERAL DO RIO GRANDE"
26274,26274,"26274","UFU","FUNDACAO UNIV. FEDERAL DE UBERLANDIA",201601,202606,124,5253,"FUNDACAO UNIV. FEDERAL DE UBERLANDIA","estavel","código presente sem troca ao longo da série","FUNDACAO UNIV. FEDERAL DE UBERLANDIA"
26275,26275,"26275","UFAC","UNIVERSIDADE FEDERAL DO ACRE",201601,202606,124,1551,"UNIVERSIDADE FEDERAL DO ACRE","estavel","código presente sem troca ao longo da série","UNIVERSIDADE FEDERAL DO ACRE"
26276,26276,"26276","UFMT","UNIVERSIDADE FEDERAL DE MATO GROSSO",201601,202606,124,3701,"UNIVERSIDADE FEDERAL DE MATO GROSSO","estavel","código presente sem troca ao longo da série","UNIVERSIDADE FEDERAL DE MATO GROSSO"
26277,26277,"26277","FUFOP","FUNDACAO UNIV. FEDERAL DE OURO PRETO",201601,202606,124,1814,"FUNDACAO UNIV. FEDERAL DE OURO PRETO","estavel","código presente sem troca ao longo da série","FUNDACAO UNIV. FEDERAL DE OURO PRETO"
